Year,Chin,site_no,Gage_Mean
2008,125582,14128870,17.37202247191012
2009,114548,14128870,18.198571428571427
2010,244419,14128870,13.86850574712643
2011,167132,14128870,23.174444444444447
2012,158088,14128870,23.714374999999997
2013,83339,14128870,17.798369565217396
2014,188079,14128870,21.36679487179488
2015,220471,14128870,16.101739130434783
2016,137204,14128870,19.86824175824176
2017,83623,14128870,27.54728571428571
2018,87892,14128870,23.722465753424665
2019,54657,14128870,19.65824324324324
2020,55590,14128870,16.68116279069768
