Project,Year,Dates,Chinook
Bonneville,2000, 3/15 - 5/31,178302
Bonneville,2001, 3/15 - 5/31,391367
Bonneville,2002, 3/15 - 5/31,268813
Bonneville,2003, 3/15 - 5/31,192010
Bonneville,2004, 3/15 - 5/31,170152
Bonneville,2005, 3/15 - 5/31,74038
Bonneville,2006, 3/15 - 5/31,96456
Bonneville,2007, 3/15 - 5/31,66624
Bonneville,2008, 3/15 - 5/31,125543
Bonneville,2009, 3/15 - 5/31,114525
Bonneville,2010, 3/15 - 5/31,244385
Bonneville,2011, 3/15 - 5/31,167097
Bonneville,2012, 3/15 - 5/31,158075
Bonneville,2013, 3/15 - 5/31,83299
Bonneville,2014, 3/15 - 5/31,188078
Bonneville,2015, 3/15 - 5/31,220250
Bonneville,2016, 3/15 - 5/31,137176
Bonneville,2017, 3/15 - 5/31,83616
Bonneville,2018, 3/15 - 5/31,87890
Bonneville,2019, 3/15 - 5/31,54656
