Year,Portland,Gresham,Hillsboro,Beaverton,Tigard,Lake Oswego,Total
2008,566850,101597,88029,87873,47153,36577,928079
2009,578104,104146,90239,89136,47744,36624,945993
2010,585429,106008,92559,90100,48326,36813,959235
2011,595451,107720,94274,91569,49244,37049,975307
2012,604264,108779,96343,92558,49818,37284,989046
2013,609890,109221,98160,93279,50361,37475,998386
2014,620510,110029,99827,94714,50674,37842,1013596
2015,631366,110378,102550,95863,51060,38282,1029499
2016,642720,111762,105374,97738,51978,38699,1048271
2017,647924,111243,107433,97824,53373,39280,1057077
2018,650837,109808,108201,98775,54652,39524,1061797
2019,654741,109381,109128,99037,55514,39822,1067623
