Project,Year,Dates,Chinook,temp_f
Willamette Falls,2009, 3/15 - 5/31,17057,50.276608756080584
Willamette Falls,2010, 3/15 - 5/31,43661,51.32337734537883
Willamette Falls,2011, 3/15 - 5/31,18970,49.16020661157012
Willamette Falls,2012, 3/15 - 5/31,20761,49.81806229958766
Willamette Falls,2013, 3/15 - 5/31,17821,52.86097527784078
Willamette Falls,2014, 3/15 - 5/31,19671,52.77177163570463
Willamette Falls,2015, 3/15 - 5/31,44169,55.788693877550884
Willamette Falls,2016, 3/15 - 5/31,16836,54.724234172906876
Willamette Falls,2017, 3/15 - 5/31,17483,50.94597914777879
Willamette Falls,2018, 3/15 - 5/31,15256,52.5334029511919
Willamette Falls,2019, 3/15 - 5/31,14511,51.985751189666885
Willamette Falls,2020, 3/15 - 5/31,17129,53.31358439201459
