Project,Year,Dates,Chinook,gage_height_ft
Willamette Falls,2009, 3/15 - 5/31,17057,6.329967570071807
Willamette Falls,2010, 3/15 - 5/31,43661,4.833822098679637
Willamette Falls,2011, 3/15 - 5/31,18970,10.236951331496797
Willamette Falls,2012, 3/15 - 5/31,20761,10.39006871278062
Willamette Falls,2013, 3/15 - 5/31,17821,6.148852347471082
Willamette Falls,2014, 3/15 - 5/31,19671,8.795885817852303
Willamette Falls,2015, 3/15 - 5/31,44169,4.9071564625850455
Willamette Falls,2016, 3/15 - 5/31,16836,7.401406852734263
Willamette Falls,2017, 3/15 - 5/31,17483,13.404161378059824
Willamette Falls,2018, 3/15 - 5/31,15256,9.166749148694683
Willamette Falls,2019, 3/15 - 5/31,14511,6.771257647858598
Willamette Falls,2020, 3/15 - 5/31,17129,5.321869328493639
